Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Lynx,44,200.6,32.1,68.1,.472,9.6,25.4,.378,22.5,42.8,.527,12.2,16.1,.760,8.5,25.6,34.2,23.3,8.2,4.8,12.1,16.0,86.1
2,Los Angeles Sparks,44,201.7,30.7,67.1,.457,8.6,25.6,.337,22.0,41.5,.531,15.7,20.4,.769,8.0,25.3,33.3,20.7,7.3,3.1,14.1,16.9,85.7
3,Indiana Fever,44,200.6,31.4,68.8,.456,8.3,24.0,.346,23.1,44.8,.515,13.8,18.0,.770,8.8,24.6,33.4,20.6,7.7,2.8,12.8,18.6,84.9
4,Atlanta Dream,44,200.6,30.1,67.8,.443,9.6,28.4,.337,20.5,39.5,.520,14.7,18.7,.786,8.9,27.7,36.6,21.4,6.8,4.5,11.2,15.8,84.4
5,New York Liberty,44,200.0,29.6,65.3,.453,9.5,26.8,.355,20.1,38.5,.522,15.6,18.7,.837,6.8,26.9,33.7,21.8,7.6,4.4,12.9,16.2,84.4
6,Las Vegas Aces,44,200.0,29.7,67.6,.439,9.1,25.9,.351,20.6,41.8,.493,15.2,18.5,.824,8.1,25.4,33.5,19.6,7.5,4.9,11.9,16.6,83.6
7,Phoenix Mercury,44,200.0,29.7,68.6,.433,9.4,27.7,.340,20.3,40.9,.496,13.9,17.8,.784,8.7,26.0,34.7,21.0,7.8,3.7,12.5,17.8,82.8
8,Seattle Storm,44,201.1,31.1,69.2,.450,7.5,22.1,.342,23.6,47.1,.501,12.3,16.0,.771,6.9,24.0,30.9,21.3,8.5,5.1,11.6,17.1,82.1
9,Dallas Wings,44,200.6,30.2,71.4,.423,6.6,21.6,.304,23.6,49.8,.474,14.8,18.4,.802,10.0,25.3,35.4,20.2,7.3,4.0,12.8,18.9,81.7
10,Golden State Valkyries,44,200.6,26.5,65.2,.407,9.7,29.9,.325,16.8,35.3,.476,15.0,18.4,.815,8.7,26.6,35.3,18.5,6.8,2.9,12.9,17.5,77.7
11,Washington Mystics,44,200.6,28.0,63.7,.439,5.6,17.1,.329,22.3,46.5,.480,15.6,20.7,.754,7.7,25.3,33.0,19.2,6.5,3.2,14.2,18.2,77.1
12,Chicago Sky,44,200.0,28.0,66.0,.425,6.7,20.2,.330,21.4,45.8,.467,13.0,17.1,.763,9.8,25.7,35.5,19.3,6.0,4.2,15.5,17.8,75.8
13,Connecticut Sun,44,200.6,27.6,67.1,.412,6.2,20.4,.302,21.5,46.7,.459,14.5,18.2,.793,8.5,23.3,31.9,17.4,7.8,3.7,13.1,19.6,75.8

