olymping-wrestling-results-,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,16,Algeria,DZ,ALG,https://olympics.com/en/athletes/abdelhak-kherbache,Abdelhak KHERBACHE,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,13,Armenia,AM,ARM,https://olympics.com/en/athletes/arsen-harutyunyan-x3560,Arsen HARUTYUNYAN,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,BRONZE,,TRUE,3,United States of America,US,USA,https://olympics.com/en/athletes/thomas-patrick-gilman,Thomas Patrick GILMAN,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,GOLD,,FALSE,1,ROC,ROC,ROC,https://olympics.com/en/athletes/zavur-uguev,Zavur UGUEV,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,10,Colombia,CO,COL,https://olympics.com/en/athletes/oscar-eduardo-tigreros-urbano,Oscar Eduardo TIGREROS URBANO,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,TRUE,5,Bulgaria,BG,BUL,https://olympics.com/en/athletes/georgi-valentinov-vangelov,Georgi Valentinov VANGELOV,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,14,Serbia,RS,SRB,https://olympics.com/en/athletes/stevan-andria-micic,Stevan Andria MICIC,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,8,Japan,JP,JPN,https://olympics.com/en/athletes/yuki-takahashi,Yuki TAKAHASHI,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,SILVER,,FALSE,2,India,IN,IND,https://olympics.com/en/athletes/kumar-ravi,Ravi Kumar Dahiya,,
Freestyle Wrestling,Men's Freestyle 57kg,tokyo-2020,Athlete,,,FALSE,11,Turkey,TR,TUR,https://olympics.com/en/athletes/suleyman-atli,Suleyman ATLI,,
