Boxer,Date,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,RDS
"Gamboa, Yuriorkis",2009.01.09,37998.0,10.6809594060936,126.0,27.1036529680362,12,0,10,0,0,10
"Gonzalez, Roger",2009.01.09,20000.0,10.0391581528853,127.0,30.6666666666665,27,2,18,0,0,10
"Lara, Erislandy",2009.01.09,3000.0,8.1420381679994,154.0,25.75,2,0,1,0,0,4
"Bogere, Sharif",2009.01.09,1500.0,7.44889098743946,135.0,20.25,4,0,2,0,0,4
"Frazier, Johnny D.",2009.01.09,1000.0,7.0434258793313,139.0,30.9166666666665,1,0,1,0,0,4
"Gonzalez, Joel",2009.01.09,1500.0,7.44889098743946,146.0,31.5,2,1,1,0,0,4
"Gonzales, Brandon G.",2009.01.09,1625.0,7.528933695113,163.0,24.6666666666665,5,0,5,0,0,6
"Morales, Alvaro",2009.01.09,1500.0,7.44889098743946,299.0,25.5,3,2,0,0,0,4
"Ayala, Elvin Lee",2009.01.23,4000.0,8.42972024045119,160.0,28.0,18,3,8,0,0,8
"Bartinelli, Anthony",2009.01.23,3500.0,8.29618884782666,161.0,29.1529680365295,20,10,13,0,0,8
"Jargal, Bayan",2009.01.23,2000.0,7.73657305989124,142.0,27.0,9,0,6,0,0,6
"Lee, Benjamin L.",2009.01.23,1750.0,7.60304166726672,206.0,25.0,1,0,0,0,0,4
"Hinkey, Tyler L.",2009.01.23,1200.0,7.22574743612525,255.0,26.1118721461182,4,0,3,0,0,4
"Del Real, Gabriel",2009.01.23,1700.0,7.57405413039347,147.5,22.5,1,0,1,0,0,4
"Smith, Lonnie M.",2009.01.23,1000.0,7.0434258793313,133.0,21.8333333333333,5,2,4,0,0,4
"Liles, Patrick M.",2009.01.30,1500.0,7.44889098743946,189.0,30.75,7,0,7,0,0,6
"Barragan, Victor",2009.01.30,1800.0,7.63121254423341,199.0,27.3333333333333,8,4,2,0,0,6
"McCall, Elijah K.",2009.01.30,1000.0,7.0434258793313,228.0,20.8333333333333,1,0,1,0,0,4
"Banks, Yohan A.",2009.01.30,1000.0,7.0434258793313,268.0,33.6666666666665,2,1,1,0,0,4
"Battease, Brian D.",2009.01.30,1000.0,7.0434258793313,123.0,25.3333333333333,3,0,1,0,0,4
"Ramos, Hugo",2009.01.30,1000.0,7.0434258793313,122.0,18.8333333333333,1,0,1,0,0,4
"Namauu, Henry CJ",2009.01.30,1000.0,7.0434258793313,209.0,24.3333333333333,2,2,1,0,0,4
"Scott, DeMark J.",2009.01.30,1000.0,7.0434258793313,176.0,27.75,1,2,1,0,0,4
"Caldwell, Caleb",2009.01.30,1000.0,7.0434258793313,176.5,24.5833333333333,2,3,2,0,0,4
"Bogere, Sharif",2009.02.14,1200.0,7.22574743612525,136.5,20.3333333333335,5,0,3,0,0,4
"Small, Carlos",2009.02.14,1200.0,7.22574743612525,132.0,24.0833333333335,2,0,1,0,0,4
"Yanez, David H.",2009.02.14,1000.0,7.0434258793313,130.0,19.0,0,0,0,0,0,4
"Ellis, Richard",2009.02.14,1000.0,7.0434258793313,132.0,29.5,2,1,1,0,0,4
"Garcia, Ignacio",2009.02.14,900.0,6.93806536367347,143.5,20.0,1,1,0,0,0,4
"Scott, Herman",2009.02.14,1000.0,7.0434258793313,160.5,29.9166666666667,2,0,1,0,0,4
"Brinkley, Jesse Lee",2009.02.14,10000.0,9.34601097232534,165.0,32.25,32,5,22,0,0,12
"Gilbert, Joseph S.",2009.02.14,10000.0,9.34601097232534,165.0,32.6666666666667,17,1,13,0,0,12
"Del Real, Gabriel",2009.02.14,1200.0,7.22574743612525,147.0,22.5833333333335,2,0,1,0,0,4
"Gonzalez, Joel",2009.02.14,1500.0,7.44889098743946,147.0,31.5833333333335,2,2,1,0,0,4
"Hinkey, Derek",2009.02.14,2000.0,7.73657305989124,162.0,28.75,6,1,6,0,0,6
"Martyniouk, Stan",2009.02.14,1200.0,7.22574743612525,133.0,23.6666666666667,4,0,1,0,0,4
"Herrera, Yogli J.",2009.02.14,3000.0,8.1420381679994,125.0,26.5833333333335,22,5,15,0,0,8
"Bloomfield, Villi",2009.03.06,1500.0,7.44889098743946,246.0,27.2812785388126,9,3,4,0,0,6
"Battease, Brian D.",2009.03.06,1000.0,7.0434258793313,124.0,25.5,3,0,1,0,0,4
"Hidalgo, Isaac",2009.03.06,1000.0,7.0434258793313,124.0,20.2757990867547,2,3,0,0,0,4
"Barragan, Victor",2009.03.06,1800.0,7.63121254423341,199.0,27.5,9,4,2,0,0,6
"Namauu, Henry CJ",2009.03.06,1500.0,7.44889098743946,199.0,24.5,3,2,2,0,0,6
"Scott, DeMark J.",2009.03.06,1000.0,7.0434258793313,174.0,27.9166666666667,2,2,1,0,0,4
"Caldwell, Caleb",2009.03.06,1000.0,7.0434258793313,175.0,24.75,2,4,2,0,0,4
"Fletes, Carlos",2009.03.06,1000.0,7.0434258793313,232.0,39.0833333333333,0,0,0,0,0,4
"Tribolet, Beau J.",2009.03.06,1000.0,7.0434258793313,243.0,34.3004566210045,0,0,0,0,0,4
"McCall, Elijah K.",2009.03.06,1000.0,7.0434258793313,224.0,21.0,2,0,2,0,0,4
"Morales, Alvaro",2009.03.06,1400.0,7.37989811595251,300.0,25.6666666666667,3,3,0,0,0,4
"Arreola, Cristobal",2009.04.11,400000.0,13.0348904264393,255.0,28.0833333333333,26,0,23,0,0,12
"Estrada, Shawn",2009.04.11,2500.0,7.95971661120545,164.5,24.0,3,0,3,0,0,4
"Dallas, Michael Jnr.",2009.04.11,2000.0,7.73657305989124,139.0,22.3646118721429,6,0,1,0,0,4
"Jett, Terrance M.",2009.04.11,2000.0,7.73657305989124,139.0,34.0,4,12,2,0,0,4
"McEwan, Craig",2009.04.11,10000.0,9.34601097232534,161.0,27.0,13,0,8,0,0,8
"de Oca, Juan P.",2009.04.11,6000.0,8.83518534855935,155.0,28.8333333333333,9,15,6,0,0,10
"Ramos, Rico D.",2009.04.11,2000.0,7.73657305989124,123.0,21.8333333333333,8,0,5,0,0,6
"Garcia, Danny",2009.04.11,7000.0,8.98933602838661,143.0,21.0833333333333,11,0,7,0,0,8
"Ouali, Said",2009.04.17,20000.0,10.0391581528853,146.0,29.9166666666665,25,2,17,0,0,12
"Gonzalez, Mario",2009.04.17,1250.0,7.26656943064551,116.5,20.25,0,2,0,0,0,4
"Pacheco, Jose",2009.04.17,1250.0,7.26656943064551,117.0,24.8333333333333,0,5,0,0,0,4
"Gamboa, Yuriorkis",2009.04.17,90000.0,11.5432355496616,125.5,27.3536529680362,14,0,12,1,0,12
"Lenk, Anthony M.",2009.04.17,1500.0,7.44889098743946,142.0,21.4029680365263,5,0,3,0,0,6
"Vargas, Jessie",2009.04.17,1500.0,7.44889098743946,142.0,19.9166666666665,4,0,2,0,0,6
"Stovall, Ivan",2009.04.17,2000.0,7.73657305989124,167.0,29.9166666666665,10,3,7,0,0,6
"Perez, Alejandro",2009.05.01,12500.0,9.56915452363955,122.0,23.0,13,1,8,0,0,12
"Landeros, Adolfo",2009.05.01,7500.0,9.05832889987356,122.0,29.4835616438356,20,11,9,0,0,12
"Reynoso, Jose L.",2009.05.01,3000.0,8.1420381679994,141.0,24.6666666666667,10,2,1,0,0,8
"Armenta, Rodolfo",2009.05.01,1800.0,7.63121254423341,139.0,24.75,6,1,4,0,0,6
"Harris, Tyrone P.",2009.05.01,8000.0,9.12286742101113,135.0,28.1666666666667,23,4,15,0,0,10
"Gomez, Alfonso S.",2009.05.01,15000.0,9.75147608043351,149.0,28.5833333333335,18,4,8,0,0,10
"Farenas, Michael H.",2009.05.01,6000.0,8.83518534855935,127.0,24.9166666666667,24,2,21,0,0,8
"Estrada, Walter",2009.05.01,5000.0,8.6528637917654,127.0,33.0,35,9,24,0,0,8
"Laurente, Dennis K.",2009.05.01,6000.0,8.83518534855935,139.5,31.8333333333335,33,4,17,0,0,8
"Tapia, Glen",2009.05.01,1500.0,7.44889098743946,154.0,19.4698630136986,1,0,1,0,0,4
"Melligen, Mark J.",2009.05.01,4000.0,8.42972024045119,141.0,23.0833333333335,13,1,10,0,0,8
"Montano, Ramon C.",2009.05.01,3500.0,8.29618884782666,140.0,26.5,17,6,2,0,0,8
"Magdaleno, Diego",2009.05.01,3500.0,8.29618884782666,129.5,22.5833333333335,8,0,3,0,0,4
"Santiago, Juan F.",2009.05.01,2750.0,8.05502679100978,131.0,24.25,7,1,5,0,0,4
"Marroquin, Roberto",2009.05.01,3500.0,8.29618884782666,123.5,19.75,5,0,4,0,0,4
"Alvarado, Mike A.",2009.05.02,13400.0,9.63868058628816,142.0,28.8333333333335,25,0,18,0,0,8
"Korobov, Matvey",2009.05.02,5000.0,8.6528637917654,161.5,26.3333333333335,4,0,4,0,1,4
"Bartinelli, Anthony",2009.05.02,4000.0,8.42972024045119,161.0,29.486301369863,20,12,13,0,1,4
"Concepcion, Bernabe",2009.05.02,20000.0,10.0391581528853,126.0,21.3333333333335,27,2,16,0,0,6
"Herrera, Yogli J.",2009.05.02,4000.0,8.42972024045119,126.0,26.8333333333335,22,7,15,0,0,6
"Chavez, Omar",2009.05.02,3000.0,8.1420381679994,144.5,19.3333333333335,14,0,10,0,0,4
"Ziolowski, Tyler",2009.05.02,3000.0,8.1420381679994,142.0,22.6666666666667,11,6,6,0,0,4
"Lara, Erislandy",2009.05.02,5000.0,8.6528637917654,155.0,26.0833333333335,4,0,3,0,1,4
"Gray, Christopher J.",2009.05.02,3500.0,8.29618884782666,156.0,33.1666666666667,11,7,1,0,1,4
"Pacquiao, Emmanuel",2009.05.02,7400000.0,15.9526611585236,138.0,30.4534246575342,48,3,36,0,1,12
"Soto, Humberto",2009.05.02,100000.0,11.6485960653194,129.0,29.0,46,7,30,1,1,12
"Mares, Abner",2009.05.02,25000.0,10.2623017041995,119.0,23.5,17,0,10,0,0,8
"Perez, Jonathan",2009.05.02,5000.0,8.6528637917654,120.0,22.25,14,5,11,0,0,8
"Zepeda, Ernesto",2009.05.02,10000.0,9.34601097232534,146.0,32.4643835616439,39,11,34,0,0,8
"Jacobs, Daniel",2009.05.02,30000.0,10.4446232609935,163.0,22.25,15,0,14,0,1,8
"Walker, Michael O.",2009.05.02,20000.0,10.0391581528853,162.0,30.5,19,1,12,0,1,8
"Bogere, Sharif",2009.05.08,1500.0,7.44889098743946,136.0,20.5833333333335,7,0,4,0,0,6
"Herrera, Marcos R.",2009.05.08,1400.0,7.37989811595251,135.0,21.0833333333335,5,0,1,0,0,6
"Del Real, Gabriel",2009.05.08,1200.0,7.22574743612525,152.0,22.8333333333335,3,0,2,0,0,4
"Gorges, Andre F.",2009.05.08,800.0,6.82028232801709,146.0,24.0833333333335,7,0,6,0,0,4
"Smith, Ishe O.",2009.05.08,1000.0,7.0434258793313,164.0,30.8333333333335,20,3,9,0,0,6
"Gray, Christopher J.",2009.05.08,4000.0,8.42972024045119,163.5,33.1666666666667,11,8,1,0,0,6
"Smith, Lonnie M.",2009.05.08,1200.0,7.22574743612525,133.5,22.1666666666667,6,2,5,0,0,6
"Tribolet, Beau J.",2009.05.08,1200.0,7.22574743612525,246.0,34.4671232876713,0,0,0,0,0,4
"Bogere, Sharif",2009.05.16,2000.0,7.73657305989124,137.5,20.5833333333335,8,0,5,0,0,6
"Lopez, Alejandro",2009.05.16,1000.0,7.0434258793313,126.0,21.75,13,0,4,0,0,6
"Marroquin, Roberto",2009.05.16,3500.0,8.29618884782666,123.0,19.75,6,0,5,0,0,6
"Martirosyan, Vanes N.",2009.05.16,15000.0,9.75147608043351,154.0,23.0,23,0,14,0,0,8
"Garcia, Mikey",2009.05.16,12500.0,9.56915452363955,126.0,21.4589041095858,16,0,13,0,0,10
"Napunyi, Anthony",2009.05.16,4500.0,8.54750327610757,123.5,26.5833333333335,14,5,7,0,0,10
"Magdaleno, Diego",2009.05.16,3500.0,8.29618884782666,134.0,22.5833333333335,9,0,3,0,0,6
"Montiel, Juan Manuel",2009.05.16,1500.0,7.44889098743946,133.0,25.9166666666667,2,2,0,0,0,6
"Rios, Brandon L.",2009.05.16,12500.0,9.56915452363955,135.5,23.0833333333335,19,0,13,0,0,10
"Battease, Brian D.",2009.05.22,1000.0,7.0434258793313,126.0,25.6666666666667,4,0,1,0,0,4
"Guillen, Robert S.",2009.05.22,1000.0,7.0434258793313,124.0,32.9166666666667,4,2,0,0,0,4
"Frazier, Johnny D.",2009.05.22,1000.0,7.0434258793313,134.5,31.25,2,0,2,0,0,4
"McFadden, Isaiah S.",2009.05.22,1000.0,7.0434258793313,167.5,25.25,1,1,0,0,0,4
